title,description,source,course_id,department,department_codes,topics,url,level,old_domain_single,unified_domain
Moral Problems and the Good Life,"This course will focus on issues that arise in contemporary public debate concerning matters of social justice. Topics will likely include: euthanasia, gay marriage, racism and racial profiling, free speech, hunger and global inequality. Students will be exposed to multiple points of view on the topics and will be given guidance in analyzing the moral frameworks informing opposing positions. The goal will be to provide the basis for respectful and informed discussion of matters of common moral concern.",mit_ocw,f5da985492d12f5b934854d0af22f0da+24.02,Linguistics And Philosophy,"[""24""]","[""Ethics"", ""Humanities"", ""Sociology"", ""Social Science"", ""Social Justice"", ""Philosophy""]",http://ocw.mit.edu/courses/linguistics-and-philosophy/24-02-moral-problems-and-the-good-life-fall-2008,Undergraduate,,
American Consumer Culture,"This class examines how and why twentieth-century Americans came to define the ""good life"" through consumption, leisure, and material abundance. We will explore how such things as department stores, nationally advertised brand-name goods, mass-produced cars, and suburbs transformed the American economy, society, and politics. The course is organized both thematically and chronologically. Each period deals with a new development in the history of consumer culture. Throughout we explore both celebrations and critiques of mass consumption and abundance.",mit_ocw,b7d476b5863b76d1ad89568266247fd1+21H.206,History,"[""21H""]","[""History"", ""Humanities"", ""Social Anthropology"", ""Social Science"", ""American History"", ""Cultural Anthropology"", ""Political Philosophy"", ""Philosophy"", ""Anthropology""]",http://ocw.mit.edu/courses/history/21h-206-american-consumer-culture-fall-2007,Undergraduate,,
"Civil Society, Social Capital, and the State in Comparative Perspective","In recent years both scholars and policymakers have expressed a remarkable amount of interest in the concepts of social capital and civil society. A growing body of research suggests that the social networks, community norms, and associational activities signified by these concepts can have important effects on social welfare, political stability, economic development, and governmental performance. This discussion based course examines the roles played by these networks, norms, and organizations in outcomes ranging from local public goods provision and the performance of democracies to ethnic conflict and funding for terrorism.",mit_ocw,37ccbd3dc756ce6e5404b53f817b1c51+17.955,Political Science,"[""17""]","[""Sociology"", ""Comparative Politics"", ""Social Science"", ""Political Science""]",http://ocw.mit.edu/courses/political-science/17-955-civil-society-social-capital-and-the-state-in-comparative-perspective-fall-2004,Graduate,,
History of Women in Science and Engineering,"This course provides a basic overview of the history of women in science, technology, engineering, and mathematics (STEM). Students will learn about specific contributions of women across a variety of disciplines and will gain a broad perspective on how these contributions played a larger role in the advancement of human knowledge and technological achievement. The class will also grapple with how both historic and modern biases within the STEM disciplines, as well as in representations of women and girls in media and popular culture, can affect outcomes in these areas.",mit_ocw,ff355f433ccd37201009cad0cee0bf2c+WGS.S10,Womens And Gender Studies,"[""WGS""]","[""Gender Studies"", ""Women's Studies"", ""Science"", ""Society"", ""Humanities"", ""History"", ""Engineering"", ""History of Science and Technology""]",http://ocw.mit.edu/courses/womens-and-gender-studies/wgs-s10-history-of-women-in-science-and-engineering-fall-2017,Undergraduate,,
Parkinson's Disease Workshop,"Parkinson's disease (PD) is a chronic, progressive, degenerative disease of the brain that produces movement disorders and deficits in executive functions, working memory, visuospatial functions, and internal control of attention. It is named after James Parkinson (1755-1824), the English neurologist who described the first case. This six-week summer workshop explored different aspects of PD, including clinical characteristics, structural neuroimaging, neuropathology, genetics, and cognitive function (mental status, cognitive control processes, working memory, and long-term declarative memory). The workshop did not take up the topics of motor control, nondeclarative memory, or treatment.",mit_ocw,516f91124a2adc451104666a7c5ed713+9.458,Brain And Cognitive Sciences,"[""9""]","[""Pathology and Pathophysiology"", ""Medical Imaging"", ""Health and Medicine"", ""Science"", ""Neuroscience"", ""Biology""]",http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-458-parkinsons-disease-workshop-summer-2006,Undergraduate,,
Political Economy I,"Political Economy I explores the major social science paradigms for analyzing relations among state, economy, and society. Through readings, lectures and discussion of original texts in political liberalism and individualism, neo-classical economics, Marxism, sociological and cultural theories, and neo-institutionalism, the seminar examines the fundamental assumptions on which our understanding of the social world and our research are based.",mit_ocw,30bbff68427b30565b02a8ee03a37843+17.100J,Political Science,"[""17"", ""15"", ""14""]","[""Social Science"", ""Economics"", ""Political Economy"", ""Political Science""]",http://ocw.mit.edu/courses/political-science/17-100j-political-economy-i-spring-2016,Graduate,business,
Principles of Discrete Applied Mathematics,"This course is an introduction to discrete applied mathematics. Topics include probability, counting, linear programming, number-theoretic algorithms, sorting, data compression, and error-correcting codes. This is a {{% resource_link ""4dd6fd06-619e-4bb0-afab-2279ecd52760"" ""Communication Intensive in the Major"" %}} (CI-M) course, and thus includes a writing component.",mit_ocw,34ebb76f72dcccd3be780d93a500a3ce+18.310,Mathematics,"[""18""]","[""Mathematics"", ""Social Science"", ""Probability and Statistics"", ""Applied Mathematics"", ""Communication"", ""Discrete Mathematics""]",http://ocw.mit.edu/courses/mathematics/18-310-principles-of-discrete-applied-mathematics-fall-2013,Undergraduate,data_science,computer_science
Integrated Chemical Engineering I,"This course uses reaction kinetics, batch reactor analysis, batch distillation, batch operations scheduling, safety analysis, and the ABACUSS process simulator to introduce process design and analysis techniques. Acknowledgements ---------------- The materials for the Fall 2006 offering of this course were drawn extensively from the materials that Professor Paul Barton used while teaching this course in past years. We are indebted to him for his long service to 10.490.",mit_ocw,cabe279663cb1cc1049b6da9e3f588a5+10.490,Chemical Engineering,"[""10""]","[""Chemistry"", ""Engineering"", ""Science"", ""Analytical Chemistry"", ""Chemical Engineering""]",http://ocw.mit.edu/courses/chemical-engineering/10-490-integrated-chemical-engineering-i-fall-2006,Undergraduate,,
Linear Partial Differential Equations: Analysis and Numerics,"This course provides students with the basic analytical and computational tools of linear partial differential equations (PDEs) for practical applications in science engineering, including heat / diffusion, wave, and Poisson equations. Analytics emphasize the viewpoint of linear algebra and the analogy with finite matrix problems. Numerics focus on finite-difference and finite-element techniques to reduce PDEs to matrix problems. The {{% resource_link ""89413e98-0330-4d6f-a3a9-e20c19726f5f"" ""Julia Language"" %}} (a free, open-source environment) is introduced and used in homework for simple examples.",mit_ocw,adf44f8f9d7aa4173f5d44a9a4d5b9a2+18.303,Mathematics,"[""18""]","[""Mathematics"", ""Linear Algebra"", ""Differential Equations"", ""Applied Mathematics""]",http://ocw.mit.edu/courses/mathematics/18-303-linear-partial-differential-equations-analysis-and-numerics-fall-2014,Undergraduate,,
"Signals, Systems and Information for Media Technology","This class teaches the fundamentals of signals and information theory with emphasis on modeling audio/visual messages and physiologically derived signals, and the human source or recipient. Topics include linear systems, difference equations, Z-transforms, sampling and sampling rate conversion, convolution, filtering, modulation, Fourier analysis, entropy, noise, and Shannon's fundamental theorems. Additional topics may include data compression, filter design, and feature detection. The undergraduate subject MAS.160 meets with the two half-semester graduate subjects MAS.510 and MAS.511, but assignments differ.",mit_ocw,dbdb15031dbb270311b104e2e2aa19b9+MAS.160,Media Arts And Sciences,"[""MAS""]","[""Electrical Engineering"", ""Fine Arts"", ""Systems Engineering"", ""Telecommunications"", ""Signal Processing"", ""Engineering"", ""Media Studies"", ""Computational Modeling and Simulation""]",http://ocw.mit.edu/courses/media-arts-and-sciences/mas-160-signals-systems-and-information-for-media-technology-fall-2007,Undergraduate,computer_science,
Computational Ocean Acoustics (13.853),"This course examines wave equations for fluid and visco-elastic media, wave-theory formulations of acoustic source radiation and seismo-acoustic propagation in stratified ocean waveguides, and Wavenumber Integration and Normal Mode methods for propagation in plane-stratified media. Also covered are Seismo-Acoustic modeling of seabeds and ice covers, seismic interface and surface waves in a stratified seabed, Parabolic Equation and Coupled Mode approaches to propagation in range-dependent ocean waveguides, numerical modeling of target scattering and reverberation clutter in ocean waveguides, and ocean ambient noise modeling. Students develop propagation models using all the numerical approaches relevant to state-of-the-art acoustic research. This course was originally offered in Course 13 (Department of Ocean Engineering) as 13.853. In 2005, ocean engineering subjects became part of Course 2 (Department of Mechanical Engineering), and this course was renumbered 2.068.",mit_ocw,2e749d5d3c42a8cb401f228773bf9196+2.068,Mechanical Engineering,"[""2""]","[""Science"", ""Mechanical Engineering"", ""Earth Science"", ""Systems Engineering"", ""Geophysics"", ""Engineering"", ""Computational Modeling and Simulation"", ""Fluid Mechanics"", ""Physics"", ""Ocean Engineering"", ""Hydrodynamics"", ""Quantum Mechanics""]",http://ocw.mit.edu/courses/mechanical-engineering/2-068-computational-ocean-acoustics-13-853-spring-2003,Graduate,computer_science,
Field Geology I,"The course provides students with (1) an introduction to the geologic history of western North America, with particular emphasis on our field camp location and (2) an introduction to both digital and traditional techniques of geological field study. The weather permitting, several weekend field exercises provide practical experience in preparation for Field Geology II (12.115). It presents introductory material on the regional geology of the locale of 12.115.",mit_ocw,0ffaa145e08894dd13bf1edfcd044d31+12.114,Earth Atmospheric And Planetary Sciences,"[""12""]","[""Earth Science"", ""Science"", ""Social Science"", ""Geology"", ""Geography""]",http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-114-field-geology-i-fall-2005,Undergraduate,,
Seminar in Ethnography and Fieldwork,"This advanced course in anthropology engages closely with discussions and debates about ethnographic research, ethics, and representation.",mit_ocw,f88a04fdb4a97e8f3718c66e275376c0+21A.112,Anthropology,"[""21A""]","[""Cultural Anthropology"", ""Ethnography"", ""Philosophy"", ""Humanities"", ""Social Science"", ""Anthropology"", ""Ethics""]",http://ocw.mit.edu/courses/anthropology/21a-112-seminar-in-ethnography-and-fieldwork-spring-2008,Undergraduate,,
Integrating the Lean Enterprise,"This class addresses some of the important issues involved with the planning, development, and implementation of lean enterprises. People, technology, process, and management dimensions of an effective lean manufacturing company are considered in a unified framework. Particular emphasis is placed on the integration of these dimensions across the entire enterprise, including product development, production, and the extended supply chain. Analysis tools as well as future trends and directions are explored. A team project is a key component of this subject.",mit_ocw,125f519d9ec7a69b894e1b95428602c1+16.852J,Aeronautics And Astronautics,"[""16"", ""ESD""]","[""Systems Optimization"", ""Project Management"", ""Business"", ""Operations Management"", ""Systems Engineering"", ""Supply Chain Management"", ""Engineering""]",http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-852j-integrating-the-lean-enterprise-fall-2005,Graduate,cloud_devops,
